marke,name,laenge_cm,breite_cm,hoehe_cm,volumen_l,gewicht_kg,max_zuladung_kg,quelle,confidence
Taurus,Taurus Strike 480,199,84,41,480,24,75,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-strike-480-czarny-polysk,high
Taurus,Taurus Xtreme II 450,195,78,38,450,16,50,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-xtreme-ii-450-czarny-matowy,high
Taurus,Taurus Xtreme II 600,195,95,44,600,,50,https://www.taurus.info.pl/bagazniki-i-uchwyty/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-xtreme-ii-600-czarny-matowy,medium
Thule,Thule Force 3 L,195,84.5,42.5,450,18.7,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-force-3-l-_-645700,high
Thule,Thule Force 3 L Sport,191,63,42,300,14.8,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-force-3-l-sport-_-645600,high
Thule,Thule Force 3 M,175,81,44,400,16.5,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-force-3-m-_-645200,high
Thule,Thule Force 3 S,140,89.8,38,300,14.8,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-force-3-s-_-645100,high
Thule,Thule Force 3 XL,215,87,43,500,22,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-force-3-xl-_-645800,high
Thule,Thule Force 3 XXL Sport,232,70,44,450,18.7,75,https://www.thule.com/de-de/cargo-carrier/car-top-carrier/thule-force-3-xxl-sport-_-645300,high
Thule,Thule Force XT L,190,84,46,450,18.7,75,https://www.autoteiledirekt.de/thule-13657278.html,medium
Thule,Thule Force XT M,175,82,45.5,400,16.4,75,https://www.autoteiledirekt.de/thule-13657275.html,medium
Thule,Thule Force XT Sport,190,63,42.5,300,14.7,75,https://www.autoteiledirekt.de/thule-13657277.html,medium
